URL,Importance,Work Style,Work Style Description
https://www.onetonline.org/link/details/15-2011.00,64,Independence,"Job requires developing one's own ways of doing things, guiding oneself with little or no supervision, and depending on oneself to get things done.Related occupations"
https://www.onetonline.org/link/details/15-2011.00,61,Leadership,"Job requires a willingness to lead, take charge, and offer opinions and direction.Related occupations"
https://www.onetonline.org/link/details/15-2011.00,57,Stress Tolerance,Job requires accepting criticism and dealing calmly and effectively with high-stress situations.Related occupations
https://www.onetonline.org/link/details/15-2011.00,56,Innovation,Job requires creativity and alternative thinking to develop new ideas for and answers to work-related problems.Related occupations
https://www.onetonline.org/link/details/15-2011.00,55,Self-Control,"Job requires maintaining composure, keeping emotions in check, controlling anger, and avoiding aggressive behavior, even in very difficult situations.Related occupations"
https://www.onetonline.org/link/details/15-2011.00,40,Concern for Others,Job requires being sensitive to others' needs and feelings and being understanding and helpful on the job.Related occupations
https://www.onetonline.org/link/details/15-2011.00,33,Social Orientation,"Job requires preferring to work with others rather than alone, and being personally connected with others on the job.Related occupations"
https://www.onetonline.org/link/details/29-1291.00,97,Integrity,Job requires being honest and ethical.Related occupations
https://www.onetonline.org/link/details/29-1291.00,90,Dependability,"Job requires being reliable, responsible, and dependable, and fulfilling obligations.Related occupations"
https://www.onetonline.org/link/details/29-1291.00,88,Self-Control,"Job requires maintaining composure, keeping emotions in check, controlling anger, and avoiding aggressive behavior, even in very difficult situations.Related occupations"
https://www.onetonline.org/link/details/29-1291.00,86,Attention to Detail,Job requires being careful about detail and thorough in completing work tasks.Related occupations
https://www.onetonline.org/link/details/29-1291.00,74,Adaptability/Flexibility,Job requires being open to change (positive or negative) and to considerable variety in the workplace.Related occupations
https://www.onetonline.org/link/details/29-1291.00,74,Independence,"Job requires developing one's own ways of doing things, guiding oneself with little or no supervision, and depending on oneself to get things done.Related occupations"
https://www.onetonline.org/link/details/29-1291.00,73,Concern for Others,Job requires being sensitive to others' needs and feelings and being understanding and helpful on the job.Related occupations
https://www.onetonline.org/link/details/29-1291.00,72,Persistence,Job requires persistence in the face of obstacles.Related occupations
https://www.onetonline.org/link/details/29-1291.00,71,Analytical Thinking,Job requires analyzing information and using logic to address work-related issues and problems.Related occupations
https://www.onetonline.org/link/details/29-1291.00,67,Cooperation,"Job requires being pleasant with others on the job and displaying a good-natured, cooperative attitude.Related occupations"
https://www.onetonline.org/link/details/29-1291.00,66,Stress Tolerance,Job requires accepting criticism and dealing calmly and effectively with high-stress situations.Related occupations
https://www.onetonline.org/link/details/29-1291.00,65,Initiative,Job requires a willingness to take on responsibilities and challenges.Related occupations
https://www.onetonline.org/link/details/29-1291.00,61,Leadership,"Job requires a willingness to lead, take charge, and offer opinions and direction.Related occupations"
https://www.onetonline.org/link/details/29-1291.00,60,Innovation,Job requires creativity and alternative thinking to develop new ideas for and answers to work-related problems.Related occupations
https://www.onetonline.org/link/details/29-1291.00,58,Social Orientation,"Job requires preferring to work with others rather than alone, and being personally connected with others on the job.Related occupations"
https://www.onetonline.org/link/details/29-1291.00,56,Achievement/Effort,Job requires establishing and maintaining personally challenging achievement goals and exerting effort toward mastering tasks.Related occupations
https://www.onetonline.org/link/details/29-1141.01,97,Integrity,Job requires being honest and ethical.Related occupations
https://www.onetonline.org/link/details/29-1141.01,97,Stress Tolerance,Job requires accepting criticism and dealing calmly and effectively with high-stress situations.Related occupations
https://www.onetonline.org/link/details/29-1141.01,94,Attention to Detail,Job requires being careful about detail and thorough in completing work tasks.Related occupations
https://www.onetonline.org/link/details/29-1141.01,94,Dependability,"Job requires being reliable, responsible, and dependable, and fulfilling obligations.Related occupations"
https://www.onetonline.org/link/details/29-1141.01,93,Adaptability/Flexibility,Job requires being open to change (positive or negative) and to considerable variety in the workplace.Related occupations
https://www.onetonline.org/link/details/29-1141.01,93,Concern for Others,Job requires being sensitive to others' needs and feelings and being understanding and helpful on the job.Related occupations
https://www.onetonline.org/link/details/29-1141.01,92,Cooperation,"Job requires being pleasant with others on the job and displaying a good-natured, cooperative attitude.Related occupations"
https://www.onetonline.org/link/details/29-1141.01,90,Self-Control,"Job requires maintaining composure, keeping emotions in check, controlling anger, and avoiding aggressive behavior, even in very difficult situations.Related occupations"
https://www.onetonline.org/link/details/29-1141.01,86,Social Orientation,"Job requires preferring to work with others rather than alone, and being personally connected with others on the job.Related occupations"
https://www.onetonline.org/link/details/29-1141.01,85,Initiative,Job requires a willingness to take on responsibilities and challenges.Related occupations
https://www.onetonline.org/link/details/29-1141.01,81,Achievement/Effort,Job requires establishing and maintaining personally challenging achievement goals and exerting effort toward mastering tasks.Related occupations
https://www.onetonline.org/link/details/29-1141.01,78,Analytical Thinking,Job requires analyzing information and using logic to address work-related issues and problems.Related occupations
https://www.onetonline.org/link/details/29-1141.01,78,Leadership,"Job requires a willingness to lead, take charge, and offer opinions and direction.Related occupations"
https://www.onetonline.org/link/details/29-1141.01,78,Persistence,Job requires persistence in the face of obstacles.Related occupations
https://www.onetonline.org/link/details/29-1141.01,74,Independence,"Job requires developing one's own ways of doing things, guiding oneself with little or no supervision, and depending on oneself to get things done.Related occupations"
https://www.onetonline.org/link/details/29-1141.01,63,Innovation,Job requires creativity and alternative thinking to develop new ideas for and answers to work-related problems.Related occupations
https://www.onetonline.org/link/details/25-2059.01,93,Adaptability/Flexibility,Job requires being open to change (positive or negative) and to considerable variety in the workplace.Related occupations
https://www.onetonline.org/link/details/25-2059.01,92,Cooperation,"Job requires being pleasant with others on the job and displaying a good-natured, cooperative attitude.Related occupations"
https://www.onetonline.org/link/details/25-2059.01,89,Concern for Others,Job requires being sensitive to others' needs and feelings and being understanding and helpful on the job.Related occupations
https://www.onetonline.org/link/details/25-2059.01,89,Dependability,"Job requires being reliable, responsible, and dependable, and fulfilling obligations.Related occupations"
https://www.onetonline.org/link/details/25-2059.01,89,Integrity,Job requires being honest and ethical.Related occupations
https://www.onetonline.org/link/details/25-2059.01,88,Initiative,Job requires a willingness to take on responsibilities and challenges.Related occupations
https://www.onetonline.org/link/details/25-2059.01,85,Persistence,Job requires persistence in the face of obstacles.Related occupations
https://www.onetonline.org/link/details/25-2059.01,83,Leadership,"Job requires a willingness to lead, take charge, and offer opinions and direction.Related occupations"
https://www.onetonline.org/link/details/25-2059.01,83,Self-Control,"Job requires maintaining composure, keeping emotions in check, controlling anger, and avoiding aggressive behavior, even in very difficult situations.Related occupations"
https://www.onetonline.org/link/details/25-2059.01,82,Innovation,Job requires creativity and alternative thinking to develop new ideas for and answers to work-related problems.Related occupations
https://www.onetonline.org/link/details/25-2059.01,79,Independence,"Job requires developing one's own ways of doing things, guiding oneself with little or no supervision, and depending on oneself to get things done.Related occupations"
https://www.onetonline.org/link/details/25-2059.01,78,Achievement/Effort,Job requires establishing and maintaining personally challenging achievement goals and exerting effort toward mastering tasks.Related occupations
https://www.onetonline.org/link/details/25-2059.01,78,Stress Tolerance,Job requires accepting criticism and dealing calmly and effectively with high-stress situations.Related occupations
https://www.onetonline.org/link/details/25-2059.01,76,Attention to Detail,Job requires being careful about detail and thorough in completing work tasks.Related occupations
https://www.onetonline.org/link/details/25-2059.01,76,Social Orientation,"Job requires preferring to work with others rather than alone, and being personally connected with others on the job.Related occupations"
https://www.onetonline.org/link/details/25-2059.01,72,Analytical Thinking,Job requires analyzing information and using logic to address work-related issues and problems.Related occupations
https://www.onetonline.org/link/details/51-9191.00,87,Attention to Detail,Job requires being careful about detail and thorough in completing work tasks.Related occupations
https://www.onetonline.org/link/details/51-9191.00,80,Dependability,"Job requires being reliable, responsible, and dependable, and fulfilling obligations.Related occupations"
https://www.onetonline.org/link/details/51-9191.00,74,Cooperation,"Job requires being pleasant with others on the job and displaying a good-natured, cooperative attitude.Related occupations"
https://www.onetonline.org/link/details/51-9191.00,73,Self-Control,"Job requires maintaining composure, keeping emotions in check, controlling anger, and avoiding aggressive behavior, even in very difficult situations.Related occupations"
https://www.onetonline.org/link/details/51-9191.00,71,Integrity,Job requires being honest and ethical.Related occupations
https://www.onetonline.org/link/details/51-9191.00,71,Persistence,Job requires persistence in the face of obstacles.Related occupations
https://www.onetonline.org/link/details/51-9191.00,68,Achievement/Effort,Job requires establishing and maintaining personally challenging achievement goals and exerting effort toward mastering tasks.Related occupations
https://www.onetonline.org/link/details/51-9191.00,67,Initiative,Job requires a willingness to take on responsibilities and challenges.Related occupations
https://www.onetonline.org/link/details/51-9191.00,65,Adaptability/Flexibility,Job requires being open to change (positive or negative) and to considerable variety in the workplace.Related occupations
https://www.onetonline.org/link/details/51-9191.00,64,Independence,"Job requires developing one's own ways of doing things, guiding oneself with little or no supervision, and depending on oneself to get things done.Related occupations"
https://www.onetonline.org/link/details/51-9191.00,58,Stress Tolerance,Job requires accepting criticism and dealing calmly and effectively with high-stress situations.Related occupations
https://www.onetonline.org/link/details/51-9191.00,57,Social Orientation,"Job requires preferring to work with others rather than alone, and being personally connected with others on the job.Related occupations"
https://www.onetonline.org/link/details/51-9191.00,55,Concern for Others,Job requires being sensitive to others' needs and feelings and being understanding and helpful on the job.Related occupations
https://www.onetonline.org/link/details/51-9191.00,54,Leadership,"Job requires a willingness to lead, take charge, and offer opinions and direction.Related occupations"
https://www.onetonline.org/link/details/51-9191.00,51,Innovation,Job requires creativity and alternative thinking to develop new ideas for and answers to work-related problems.Related occupations
https://www.onetonline.org/link/details/51-9191.00,49,Analytical Thinking,Job requires analyzing information and using logic to address work-related issues and problems.Related occupations
https://www.onetonline.org/link/details/23-1021.00,97,Integrity,Job requires being honest and ethical.Related occupations
https://www.onetonline.org/link/details/23-1021.00,94,Attention to Detail,Job requires being careful about detail and thorough in completing work tasks.Related occupations
https://www.onetonline.org/link/details/23-1021.00,94,Self-Control,"Job requires maintaining composure, keeping emotions in check, controlling anger, and avoiding aggressive behavior, even in very difficult situations.Related occupations"
https://www.onetonline.org/link/details/23-1021.00,90,Independence,"Job requires developing one's own ways of doing things, guiding oneself with little or no supervision, and depending on oneself to get things done.Related occupations"
https://www.onetonline.org/link/details/23-1021.00,89,Stress Tolerance,Job requires accepting criticism and dealing calmly and effectively with high-stress situations.Related occupations
https://www.onetonline.org/link/details/23-1021.00,88,Analytical Thinking,Job requires analyzing information and using logic to address work-related issues and problems.Related occupations
https://www.onetonline.org/link/details/23-1021.00,88,Dependability,"Job requires being reliable, responsible, and dependable, and fulfilling obligations.Related occupations"
https://www.onetonline.org/link/details/23-1021.00,86,Cooperation,"Job requires being pleasant with others on the job and displaying a good-natured, cooperative attitude.Related occupations"
https://www.onetonline.org/link/details/23-1021.00,81,Concern for Others,Job requires being sensitive to others' needs and feelings and being understanding and helpful on the job.Related occupations
https://www.onetonline.org/link/details/23-1021.00,80,Achievement/Effort,Job requires establishing and maintaining personally challenging achievement goals and exerting effort toward mastering tasks.Related occupations
https://www.onetonline.org/link/details/23-1021.00,76,Adaptability/Flexibility,Job requires being open to change (positive or negative) and to considerable variety in the workplace.Related occupations
https://www.onetonline.org/link/details/23-1021.00,75,Initiative,Job requires a willingness to take on responsibilities and challenges.Related occupations
https://www.onetonline.org/link/details/23-1021.00,72,Leadership,"Job requires a willingness to lead, take charge, and offer opinions and direction.Related occupations"
https://www.onetonline.org/link/details/23-1021.00,71,Persistence,Job requires persistence in the face of obstacles.Related occupations
https://www.onetonline.org/link/details/23-1021.00,54,Social Orientation,"Job requires preferring to work with others rather than alone, and being personally connected with others on the job.Related occupations"
https://www.onetonline.org/link/details/23-1021.00,52,Innovation,Job requires creativity and alternative thinking to develop new ideas for and answers to work-related problems.Related occupations
https://www.onetonline.org/link/details/11-3012.00,93,Integrity,Job requires being honest and ethical.Related occupations
https://www.onetonline.org/link/details/11-3012.00,92,Dependability,"Job requires being reliable, responsible, and dependable, and fulfilling obligations.Related occupations"
https://www.onetonline.org/link/details/11-3012.00,88,Self-Control,"Job requires maintaining composure, keeping emotions in check, controlling anger, and avoiding aggressive behavior, even in very difficult situations.Related occupations"
https://www.onetonline.org/link/details/11-3012.00,86,Stress Tolerance,Job requires accepting criticism and dealing calmly and effectively with high-stress situations.Related occupations
https://www.onetonline.org/link/details/11-3012.00,84,Attention to Detail,Job requires being careful about detail and thorough in completing work tasks.Related occupations
https://www.onetonline.org/link/details/11-3012.00,83,Cooperation,"Job requires being pleasant with others on the job and displaying a good-natured, cooperative attitude.Related occupations"
https://www.onetonline.org/link/details/11-3012.00,81,Initiative,Job requires a willingness to take on responsibilities and challenges.Related occupations
https://www.onetonline.org/link/details/11-3012.00,80,Adaptability/Flexibility,Job requires being open to change (positive or negative) and to considerable variety in the workplace.Related occupations
https://www.onetonline.org/link/details/11-3012.00,78,Independence,"Job requires developing one's own ways of doing things, guiding oneself with little or no supervision, and depending on oneself to get things done.Related occupations"
https://www.onetonline.org/link/details/11-3012.00,76,Analytical Thinking,Job requires analyzing information and using logic to address work-related issues and problems.Related occupations
https://www.onetonline.org/link/details/11-3012.00,76,Concern for Others,Job requires being sensitive to others' needs and feelings and being understanding and helpful on the job.Related occupations
https://www.onetonline.org/link/details/11-3012.00,75,Persistence,Job requires persistence in the face of obstacles.Related occupations
https://www.onetonline.org/link/details/11-3012.00,74,Achievement/Effort,Job requires establishing and maintaining personally challenging achievement goals and exerting effort toward mastering tasks.Related occupations
https://www.onetonline.org/link/details/11-3012.00,74,Leadership,"Job requires a willingness to lead, take charge, and offer opinions and direction.Related occupations"
https://www.onetonline.org/link/details/11-3012.00,71,Innovation,Job requires creativity and alternative thinking to develop new ideas for and answers to work-related problems.Related occupations
https://www.onetonline.org/link/details/11-3012.00,66,Social Orientation,"Job requires preferring to work with others rather than alone, and being personally connected with others on the job.Related occupations"
https://www.onetonline.org/link/details/25-3011.00,90,Dependability,"Job requires being reliable, responsible, and dependable, and fulfilling obligations.Related occupations"
https://www.onetonline.org/link/details/25-3011.00,88,Integrity,Job requires being honest and ethical.Related occupations
https://www.onetonline.org/link/details/25-3011.00,86,Self-Control,"Job requires maintaining composure, keeping emotions in check, controlling anger, and avoiding aggressive behavior, even in very difficult situations.Related occupations"
https://www.onetonline.org/link/details/25-3011.00,83,Adaptability/Flexibility,Job requires being open to change (positive or negative) and to considerable variety in the workplace.Related occupations
https://www.onetonline.org/link/details/25-3011.00,82,Concern for Others,Job requires being sensitive to others' needs and feelings and being understanding and helpful on the job.Related occupations
https://www.onetonline.org/link/details/25-3011.00,82,Independence,"Job requires developing one's own ways of doing things, guiding oneself with little or no supervision, and depending on oneself to get things done.Related occupations"
https://www.onetonline.org/link/details/25-3011.00,81,Cooperation,"Job requires being pleasant with others on the job and displaying a good-natured, cooperative attitude.Related occupations"
https://www.onetonline.org/link/details/25-3011.00,79,Attention to Detail,Job requires being careful about detail and thorough in completing work tasks.Related occupations
https://www.onetonline.org/link/details/25-3011.00,73,Social Orientation,"Job requires preferring to work with others rather than alone, and being personally connected with others on the job.Related occupations"
https://www.onetonline.org/link/details/25-3011.00,73,Stress Tolerance,Job requires accepting criticism and dealing calmly and effectively with high-stress situations.Related occupations
https://www.onetonline.org/link/details/25-3011.00,70,Initiative,Job requires a willingness to take on responsibilities and challenges.Related occupations
https://www.onetonline.org/link/details/25-3011.00,70,Leadership,"Job requires a willingness to lead, take charge, and offer opinions and direction.Related occupations"
https://www.onetonline.org/link/details/25-3011.00,69,Analytical Thinking,Job requires analyzing information and using logic to address work-related issues and problems.Related occupations
https://www.onetonline.org/link/details/25-3011.00,69,Persistence,Job requires persistence in the face of obstacles.Related occupations
https://www.onetonline.org/link/details/25-3011.00,68,Innovation,Job requires creativity and alternative thinking to develop new ideas for and answers to work-related problems.Related occupations
https://www.onetonline.org/link/details/25-3011.00,65,Achievement/Effort,Job requires establishing and maintaining personally challenging achievement goals and exerting effort toward mastering tasks.Related occupations
https://www.onetonline.org/link/details/29-1141.02,99,Integrity,Job requires being honest and ethical.Related occupations
https://www.onetonline.org/link/details/29-1141.02,96,Concern for Others,Job requires being sensitive to others' needs and feelings and being understanding and helpful on the job.Related occupations
https://www.onetonline.org/link/details/29-1141.02,96,Dependability,"Job requires being reliable, responsible, and dependable, and fulfilling obligations.Related occupations"
https://www.onetonline.org/link/details/29-1141.02,96,Stress Tolerance,Job requires accepting criticism and dealing calmly and effectively with high-stress situations.Related occupations
https://www.onetonline.org/link/details/29-1141.02,90,Attention to Detail,Job requires being careful about detail and thorough in completing work tasks.Related occupations
https://www.onetonline.org/link/details/29-1141.02,89,Adaptability/Flexibility,Job requires being open to change (positive or negative) and to considerable variety in the workplace.Related occupations
https://www.onetonline.org/link/details/29-1141.02,89,Cooperation,"Job requires being pleasant with others on the job and displaying a good-natured, cooperative attitude.Related occupations"
https://www.onetonline.org/link/details/29-1141.02,89,Self-Control,"Job requires maintaining composure, keeping emotions in check, controlling anger, and avoiding aggressive behavior, even in very difficult situations.Related occupations"
https://www.onetonline.org/link/details/29-1141.02,87,Persistence,Job requires persistence in the face of obstacles.Related occupations
https://www.onetonline.org/link/details/29-1141.02,85,Analytical Thinking,Job requires analyzing information and using logic to address work-related issues and problems.Related occupations
https://www.onetonline.org/link/details/29-1141.02,83,Social Orientation,"Job requires preferring to work with others rather than alone, and being personally connected with others on the job.Related occupations"
https://www.onetonline.org/link/details/29-1141.02,81,Initiative,Job requires a willingness to take on responsibilities and challenges.Related occupations
https://www.onetonline.org/link/details/29-1141.02,79,Independence,"Job requires developing one's own ways of doing things, guiding oneself with little or no supervision, and depending on oneself to get things done.Related occupations"
https://www.onetonline.org/link/details/29-1141.02,75,Leadership,"Job requires a willingness to lead, take charge, and offer opinions and direction.Related occupations"
https://www.onetonline.org/link/details/29-1141.02,74,Achievement/Effort,Job requires establishing and maintaining personally challenging achievement goals and exerting effort toward mastering tasks.Related occupations
https://www.onetonline.org/link/details/29-1141.02,57,Innovation,Job requires creativity and alternative thinking to develop new ideas for and answers to work-related problems.Related occupations
https://www.onetonline.org/link/details/11-2011.00,89,Initiative,Job requires a willingness to take on responsibilities and challenges.Related occupations
https://www.onetonline.org/link/details/11-2011.00,88,Cooperation,"Job requires being pleasant with others on the job and displaying a good-natured, cooperative attitude.Related occupations"
https://www.onetonline.org/link/details/11-2011.00,88,Dependability,"Job requires being reliable, responsible, and dependable, and fulfilling obligations.Related occupations"
https://www.onetonline.org/link/details/11-2011.00,87,Attention to Detail,Job requires being careful about detail and thorough in completing work tasks.Related occupations
https://www.onetonline.org/link/details/11-2011.00,86,Adaptability/Flexibility,Job requires being open to change (positive or negative) and to considerable variety in the workplace.Related occupations
https://www.onetonline.org/link/details/11-2011.00,84,Stress Tolerance,Job requires accepting criticism and dealing calmly and effectively with high-stress situations.Related occupations
https://www.onetonline.org/link/details/11-2011.00,83,Persistence,Job requires persistence in the face of obstacles.Related occupations
https://www.onetonline.org/link/details/11-2011.00,80,Self-Control,"Job requires maintaining composure, keeping emotions in check, controlling anger, and avoiding aggressive behavior, even in very difficult situations.Related occupations"
https://www.onetonline.org/link/details/11-2011.00,79,Integrity,Job requires being honest and ethical.Related occupations
https://www.onetonline.org/link/details/11-2011.00,78,Achievement/Effort,Job requires establishing and maintaining personally challenging achievement goals and exerting effort toward mastering tasks.Related occupations
https://www.onetonline.org/link/details/11-2011.00,76,Independence,"Job requires developing one's own ways of doing things, guiding oneself with little or no supervision, and depending on oneself to get things done.Related occupations"
https://www.onetonline.org/link/details/11-2011.00,76,Leadership,"Job requires a willingness to lead, take charge, and offer opinions and direction.Related occupations"
https://www.onetonline.org/link/details/11-2011.00,75,Innovation,Job requires creativity and alternative thinking to develop new ideas for and answers to work-related problems.Related occupations
https://www.onetonline.org/link/details/11-2011.00,72,Analytical Thinking,Job requires analyzing information and using logic to address work-related issues and problems.Related occupations
https://www.onetonline.org/link/details/11-2011.00,70,Concern for Others,Job requires being sensitive to others' needs and feelings and being understanding and helpful on the job.Related occupations
https://www.onetonline.org/link/details/11-2011.00,68,Social Orientation,"Job requires preferring to work with others rather than alone, and being personally connected with others on the job.Related occupations"
https://www.onetonline.org/link/details/41-3011.00,88,Attention to Detail,Job requires being careful about detail and thorough in completing work tasks.Related occupations
https://www.onetonline.org/link/details/41-3011.00,88,Initiative,Job requires a willingness to take on responsibilities and challenges.Related occupations
https://www.onetonline.org/link/details/41-3011.00,87,Persistence,Job requires persistence in the face of obstacles.Related occupations
https://www.onetonline.org/link/details/41-3011.00,86,Integrity,Job requires being honest and ethical.Related occupations
https://www.onetonline.org/link/details/41-3011.00,85,Achievement/Effort,Job requires establishing and maintaining personally challenging achievement goals and exerting effort toward mastering tasks.Related occupations
https://www.onetonline.org/link/details/41-3011.00,84,Dependability,"Job requires being reliable, responsible, and dependable, and fulfilling obligations.Related occupations"
https://www.onetonline.org/link/details/41-3011.00,84,Stress Tolerance,Job requires accepting criticism and dealing calmly and effectively with high-stress situations.Related occupations
https://www.onetonline.org/link/details/41-3011.00,79,Independence,"Job requires developing one's own ways of doing things, guiding oneself with little or no supervision, and depending on oneself to get things done.Related occupations"
https://www.onetonline.org/link/details/41-3011.00,77,Adaptability/Flexibility,Job requires being open to change (positive or negative) and to considerable variety in the workplace.Related occupations
https://www.onetonline.org/link/details/41-3011.00,74,Social Orientation,"Job requires preferring to work with others rather than alone, and being personally connected with others on the job.Related occupations"
https://www.onetonline.org/link/details/41-3011.00,70,Cooperation,"Job requires being pleasant with others on the job and displaying a good-natured, cooperative attitude.Related occupations"
https://www.onetonline.org/link/details/41-3011.00,70,Innovation,Job requires creativity and alternative thinking to develop new ideas for and answers to work-related problems.Related occupations
https://www.onetonline.org/link/details/41-3011.00,70,Self-Control,"Job requires maintaining composure, keeping emotions in check, controlling anger, and avoiding aggressive behavior, even in very difficult situations.Related occupations"
https://www.onetonline.org/link/details/41-3011.00,66,Analytical Thinking,Job requires analyzing information and using logic to address work-related issues and problems.Related occupations
https://www.onetonline.org/link/details/41-3011.00,66,Concern for Others,Job requires being sensitive to others' needs and feelings and being understanding and helpful on the job.Related occupations
https://www.onetonline.org/link/details/41-3011.00,63,Leadership,"Job requires a willingness to lead, take charge, and offer opinions and direction.Related occupations"
https://www.onetonline.org/link/details/17-3021.00,94,Attention to Detail,Job requires being careful about detail and thorough in completing work tasks.Related occupations
https://www.onetonline.org/link/details/17-3021.00,90,Dependability,"Job requires being reliable, responsible, and dependable, and fulfilling obligations.Related occupations"
https://www.onetonline.org/link/details/17-3021.00,87,Analytical Thinking,Job requires analyzing information and using logic to address work-related issues and problems.Related occupations
