URL,Importance,Interest,Interest Description
https://www.onetonline.org/link/details/25-3011.00,24,Realistic,"Work involves designing, building, or repairing of equipment, materials, or structures, engaging in physical activity, or working outdoors.  occupations are often associated with engineering, mechanics and electronics, construction, woodworking, transportation, machine operation, agriculture, animal services, physical or manual labor, athletics, or protective services.Related occupations"
https://www.onetonline.org/link/details/29-1141.02,82,Investigative,"Work involves studying and researching non-living objects, living organisms, disease or other forms of impairment, or human behavior.  occupations are often associated with physical, life, medical, or social sciences, and can be found in the fields of humanities, mathematics/statistics, information technology, or health care service.Related occupations"
https://www.onetonline.org/link/details/29-1141.02,82,Social,"Work involves helping, teaching, advising, assisting, or providing service to others.  occupations are often associated with social, health care, personal service, teaching/education, or religious activities.Related occupations"
https://www.onetonline.org/link/details/29-1141.02,47,Conventional,"Work involves following procedures and regulations to organize information or data, typically in a business setting.  occupations are often associated with office work, accounting, mathematics/statistics, information technology, finance, or human resources.Related occupations"
https://www.onetonline.org/link/details/29-1141.02,29,Realistic,"Work involves designing, building, or repairing of equipment, materials, or structures, engaging in physical activity, or working outdoors.  occupations are often associated with engineering, mechanics and electronics, construction, woodworking, transportation, machine operation, agriculture, animal services, physical or manual labor, athletics, or protective services.Related occupations"
https://www.onetonline.org/link/details/29-1141.02,27,Artistic,"Work involves creating original visual artwork, performances, written works, food, or music for a variety of media, or applying artistic principles to the design of various objects and materials.  occupations are often associated with visual arts, applied arts and design, performing arts, music, creative writing, media, or culinary art.Related occupations"
https://www.onetonline.org/link/details/29-1141.02,14,Enterprising,"Work involves managing, negotiating, marketing, or selling, typically in a business setting, or leading or advising people in political and legal situations.  occupations are often associated with business initiatives, sales, marketing/advertising, finance, management/administration, professional advising, public speaking, politics, or law.Related occupations"
https://www.onetonline.org/link/details/11-2011.00,100,Enterprising,"Work involves managing, negotiating, marketing, or selling, typically in a business setting, or leading or advising people in political and legal situations.  occupations are often associated with business initiatives, sales, marketing/advertising, finance, management/administration, professional advising, public speaking, politics, or law.Related occupations"
https://www.onetonline.org/link/details/11-2011.00,55,Conventional,"Work involves following procedures and regulations to organize information or data, typically in a business setting.  occupations are often associated with office work, accounting, mathematics/statistics, information technology, finance, or human resources.Related occupations"
https://www.onetonline.org/link/details/11-2011.00,48,Artistic,"Work involves creating original visual artwork, performances, written works, food, or music for a variety of media, or applying artistic principles to the design of various objects and materials.  occupations are often associated with visual arts, applied arts and design, performing arts, music, creative writing, media, or culinary art.Related occupations"
https://www.onetonline.org/link/details/11-2011.00,36,Social,"Work involves helping, teaching, advising, assisting, or providing service to others.  occupations are often associated with social, health care, personal service, teaching/education, or religious activities.Related occupations"
https://www.onetonline.org/link/details/11-2011.00,12,Investigative,"Work involves studying and researching non-living objects, living organisms, disease or other forms of impairment, or human behavior.  occupations are often associated with physical, life, medical, or social sciences, and can be found in the fields of humanities, mathematics/statistics, information technology, or health care service.Related occupations"
https://www.onetonline.org/link/details/11-2011.00,1,Realistic,"Work involves designing, building, or repairing of equipment, materials, or structures, engaging in physical activity, or working outdoors.  occupations are often associated with engineering, mechanics and electronics, construction, woodworking, transportation, machine operation, agriculture, animal services, physical or manual labor, athletics, or protective services.Related occupations"
https://www.onetonline.org/link/details/41-3011.00,95,Enterprising,"Work involves managing, negotiating, marketing, or selling, typically in a business setting, or leading or advising people in political and legal situations.  occupations are often associated with business initiatives, sales, marketing/advertising, finance, management/administration, professional advising, public speaking, politics, or law.Related occupations"
https://www.onetonline.org/link/details/41-3011.00,62,Conventional,"Work involves following procedures and regulations to organize information or data, typically in a business setting.  occupations are often associated with office work, accounting, mathematics/statistics, information technology, finance, or human resources.Related occupations"
https://www.onetonline.org/link/details/41-3011.00,42,Artistic,"Work involves creating original visual artwork, performances, written works, food, or music for a variety of media, or applying artistic principles to the design of various objects and materials.  occupations are often associated with visual arts, applied arts and design, performing arts, music, creative writing, media, or culinary art.Related occupations"
https://www.onetonline.org/link/details/41-3011.00,32,Social,"Work involves helping, teaching, advising, assisting, or providing service to others.  occupations are often associated with social, health care, personal service, teaching/education, or religious activities.Related occupations"
https://www.onetonline.org/link/details/41-3011.00,8,Investigative,"Work involves studying and researching non-living objects, living organisms, disease or other forms of impairment, or human behavior.  occupations are often associated with physical, life, medical, or social sciences, and can be found in the fields of humanities, mathematics/statistics, information technology, or health care service.Related occupations"
https://www.onetonline.org/link/details/41-3011.00,1,Realistic,"Work involves designing, building, or repairing of equipment, materials, or structures, engaging in physical activity, or working outdoors.  occupations are often associated with engineering, mechanics and electronics, construction, woodworking, transportation, machine operation, agriculture, animal services, physical or manual labor, athletics, or protective services.Related occupations"
https://www.onetonline.org/link/details/17-3021.00,91,Realistic,"Work involves designing, building, or repairing of equipment, materials, or structures, engaging in physical activity, or working outdoors.  occupations are often associated with engineering, mechanics and electronics, construction, woodworking, transportation, machine operation, agriculture, animal services, physical or manual labor, athletics, or protective services.Related occupations"
https://www.onetonline.org/link/details/17-3021.00,70,Conventional,"Work involves following procedures and regulations to organize information or data, typically in a business setting.  occupations are often associated with office work, accounting, mathematics/statistics, information technology, finance, or human resources.Related occupations"
https://www.onetonline.org/link/details/17-3021.00,68,Investigative,"Work involves studying and researching non-living objects, living organisms, disease or other forms of impairment, or human behavior.  occupations are often associated with physical, life, medical, or social sciences, and can be found in the fields of humanities, mathematics/statistics, information technology, or health care service.Related occupations"
https://www.onetonline.org/link/details/17-3021.00,7,Enterprising,"Work involves managing, negotiating, marketing, or selling, typically in a business setting, or leading or advising people in political and legal situations.  occupations are often associated with business initiatives, sales, marketing/advertising, finance, management/administration, professional advising, public speaking, politics, or law.Related occupations"
https://www.onetonline.org/link/details/17-3021.00,0,Artistic,"Work involves creating original visual artwork, performances, written works, food, or music for a variety of media, or applying artistic principles to the design of various objects and materials.  occupations are often associated with visual arts, applied arts and design, performing arts, music, creative writing, media, or culinary art.Related occupations"
https://www.onetonline.org/link/details/17-3021.00,0,Social,"Work involves helping, teaching, advising, assisting, or providing service to others.  occupations are often associated with social, health care, personal service, teaching/education, or religious activities.Related occupations"
https://www.onetonline.org/link/details/17-2011.00,86,Investigative,"Work involves studying and researching non-living objects, living organisms, disease or other forms of impairment, or human behavior.  occupations are often associated with physical, life, medical, or social sciences, and can be found in the fields of humanities, mathematics/statistics, information technology, or health care service.Related occupations"
https://www.onetonline.org/link/details/17-2011.00,73,Realistic,"Work involves designing, building, or repairing of equipment, materials, or structures, engaging in physical activity, or working outdoors.  occupations are often associated with engineering, mechanics and electronics, construction, woodworking, transportation, machine operation, agriculture, animal services, physical or manual labor, athletics, or protective services.Related occupations"
https://www.onetonline.org/link/details/17-2011.00,61,Conventional,"Work involves following procedures and regulations to organize information or data, typically in a business setting.  occupations are often associated with office work, accounting, mathematics/statistics, information technology, finance, or human resources.Related occupations"
https://www.onetonline.org/link/details/17-2011.00,26,Enterprising,"Work involves managing, negotiating, marketing, or selling, typically in a business setting, or leading or advising people in political and legal situations.  occupations are often associated with business initiatives, sales, marketing/advertising, finance, management/administration, professional advising, public speaking, politics, or law.Related occupations"
https://www.onetonline.org/link/details/17-2011.00,24,Artistic,"Work involves creating original visual artwork, performances, written works, food, or music for a variety of media, or applying artistic principles to the design of various objects and materials.  occupations are often associated with visual arts, applied arts and design, performing arts, music, creative writing, media, or culinary art.Related occupations"
https://www.onetonline.org/link/details/17-2011.00,5,Social,"Work involves helping, teaching, advising, assisting, or providing service to others.  occupations are often associated with social, health care, personal service, teaching/education, or religious activities.Related occupations"
https://www.onetonline.org/link/details/13-1011.00,89,Enterprising,"Work involves managing, negotiating, marketing, or selling, typically in a business setting, or leading or advising people in political and legal situations.  occupations are often associated with business initiatives, sales, marketing/advertising, finance, management/administration, professional advising, public speaking, politics, or law.Related occupations"
https://www.onetonline.org/link/details/13-1011.00,50,Social,"Work involves helping, teaching, advising, assisting, or providing service to others.  occupations are often associated with social, health care, personal service, teaching/education, or religious activities.Related occupations"
https://www.onetonline.org/link/details/13-1011.00,48,Conventional,"Work involves following procedures and regulations to organize information or data, typically in a business setting.  occupations are often associated with office work, accounting, mathematics/statistics, information technology, finance, or human resources.Related occupations"
https://www.onetonline.org/link/details/13-1011.00,42,Artistic,"Work involves creating original visual artwork, performances, written works, food, or music for a variety of media, or applying artistic principles to the design of various objects and materials.  occupations are often associated with visual arts, applied arts and design, performing arts, music, creative writing, media, or culinary art.Related occupations"
https://www.onetonline.org/link/details/13-1011.00,11,Investigative,"Work involves studying and researching non-living objects, living organisms, disease or other forms of impairment, or human behavior.  occupations are often associated with physical, life, medical, or social sciences, and can be found in the fields of humanities, mathematics/statistics, information technology, or health care service.Related occupations"
https://www.onetonline.org/link/details/13-1011.00,0,Realistic,"Work involves designing, building, or repairing of equipment, materials, or structures, engaging in physical activity, or working outdoors.  occupations are often associated with engineering, mechanics and electronics, construction, woodworking, transportation, machine operation, agriculture, animal services, physical or manual labor, athletics, or protective services.Related occupations"
https://www.onetonline.org/link/details/17-2021.00,88,Investigative,"Work involves studying and researching non-living objects, living organisms, disease or other forms of impairment, or human behavior.  occupations are often associated with physical, life, medical, or social sciences, and can be found in the fields of humanities, mathematics/statistics, information technology, or health care service.Related occupations"
https://www.onetonline.org/link/details/17-2021.00,86,Realistic,"Work involves designing, building, or repairing of equipment, materials, or structures, engaging in physical activity, or working outdoors.  occupations are often associated with engineering, mechanics and electronics, construction, woodworking, transportation, machine operation, agriculture, animal services, physical or manual labor, athletics, or protective services.Related occupations"
https://www.onetonline.org/link/details/17-2021.00,49,Conventional,"Work involves following procedures and regulations to organize information or data, typically in a business setting.  occupations are often associated with office work, accounting, mathematics/statistics, information technology, finance, or human resources.Related occupations"
https://www.onetonline.org/link/details/17-2021.00,27,Enterprising,"Work involves managing, negotiating, marketing, or selling, typically in a business setting, or leading or advising people in political and legal situations.  occupations are often associated with business initiatives, sales, marketing/advertising, finance, management/administration, professional advising, public speaking, politics, or law.Related occupations"
https://www.onetonline.org/link/details/17-2021.00,20,Artistic,"Work involves creating original visual artwork, performances, written works, food, or music for a variety of media, or applying artistic principles to the design of various objects and materials.  occupations are often associated with visual arts, applied arts and design, performing arts, music, creative writing, media, or culinary art.Related occupations"
https://www.onetonline.org/link/details/17-2021.00,12,Social,"Work involves helping, teaching, advising, assisting, or providing service to others.  occupations are often associated with social, health care, personal service, teaching/education, or religious activities.Related occupations"
https://www.onetonline.org/link/details/45-2091.00,100,Realistic,"Work involves designing, building, or repairing of equipment, materials, or structures, engaging in physical activity, or working outdoors.  occupations are often associated with engineering, mechanics and electronics, construction, woodworking, transportation, machine operation, agriculture, animal services, physical or manual labor, athletics, or protective services.Related occupations"
https://www.onetonline.org/link/details/45-2091.00,45,Conventional,"Work involves following procedures and regulations to organize information or data, typically in a business setting.  occupations are often associated with office work, accounting, mathematics/statistics, information technology, finance, or human resources.Related occupations"
https://www.onetonline.org/link/details/45-2091.00,25,Investigative,"Work involves studying and researching non-living objects, living organisms, disease or other forms of impairment, or human behavior.  occupations are often associated with physical, life, medical, or social sciences, and can be found in the fields of humanities, mathematics/statistics, information technology, or health care service.Related occupations"
https://www.onetonline.org/link/details/45-2091.00,6,Enterprising,"Work involves managing, negotiating, marketing, or selling, typically in a business setting, or leading or advising people in political and legal situations.  occupations are often associated with business initiatives, sales, marketing/advertising, finance, management/administration, professional advising, public speaking, politics, or law.Related occupations"
https://www.onetonline.org/link/details/45-2091.00,0,Artistic,"Work involves creating original visual artwork, performances, written works, food, or music for a variety of media, or applying artistic principles to the design of various objects and materials.  occupations are often associated with visual arts, applied arts and design, performing arts, music, creative writing, media, or culinary art.Related occupations"
https://www.onetonline.org/link/details/45-2091.00,0,Social,"Work involves helping, teaching, advising, assisting, or providing service to others.  occupations are often associated with social, health care, personal service, teaching/education, or religious activities.Related occupations"
https://www.onetonline.org/link/details/45-2011.00,72,Realistic,"Work involves designing, building, or repairing of equipment, materials, or structures, engaging in physical activity, or working outdoors.  occupations are often associated with engineering, mechanics and electronics, construction, woodworking, transportation, machine operation, agriculture, animal services, physical or manual labor, athletics, or protective services.Related occupations"
https://www.onetonline.org/link/details/45-2011.00,69,Conventional,"Work involves following procedures and regulations to organize information or data, typically in a business setting.  occupations are often associated with office work, accounting, mathematics/statistics, information technology, finance, or human resources.Related occupations"
https://www.onetonline.org/link/details/45-2011.00,51,Investigative,"Work involves studying and researching non-living objects, living organisms, disease or other forms of impairment, or human behavior.  occupations are often associated with physical, life, medical, or social sciences, and can be found in the fields of humanities, mathematics/statistics, information technology, or health care service.Related occupations"
https://www.onetonline.org/link/details/45-2011.00,36,Enterprising,"Work involves managing, negotiating, marketing, or selling, typically in a business setting, or leading or advising people in political and legal situations.  occupations are often associated with business initiatives, sales, marketing/advertising, finance, management/administration, professional advising, public speaking, politics, or law.Related occupations"
https://www.onetonline.org/link/details/45-2011.00,15,Social,"Work involves helping, teaching, advising, assisting, or providing service to others.  occupations are often associated with social, health care, personal service, teaching/education, or religious activities.Related occupations"
https://www.onetonline.org/link/details/45-2011.00,0,Artistic,"Work involves creating original visual artwork, performances, written works, food, or music for a variety of media, or applying artistic principles to the design of various objects and materials.  occupations are often associated with visual arts, applied arts and design, performing arts, music, creative writing, media, or culinary art.Related occupations"
