Industry,Employed by this Industry,Code,Occupation,Projected Growth (2022-2032),Projected Job Openings (2022-2032),Technology Skills,Tasks,Detailed Work Activities,Job Zone
Health Care and Social Assistance,89%,29-1215.00,Family Medicine Physicians,Average,"3,300","Accounting software, Calendar and scheduling software, Electronic mail software, Information retrieval or search software, Internet browser software, Medical software, Office suite software, Spreadsheet software","Prescribe or administer treatment, therapy, medication, vaccination, and other specialized medical care to treat or prevent illness, disease, or injury.Related occupations, Order, perform, and interpret tests and analyze records, reports, and examination information to diagnose patients' condition.Related occupations, Collect, record, and maintain patient information, such as medical history, reports, or examination results.Related occupations, Monitor patients' conditions and progress and reevaluate treatments as necessary.Related occupations, Explain procedures and discuss test results or prescribed treatments with patients.Related occupations, Advise patients and community members concerning diet, activity, hygiene, and disease prevention.Related occupations, Direct and coordinate activities of nurses, students, assistants, specialists, therapists, and other medical staff.Related occupations, Refer patients to medical specialists or other practitioners when necessary.Related occupations, Coordinate work with nurses, social workers, rehabilitation therapists, pharmacists, psychologists, and other health care providers.Related occupations, Plan, implement, or administer health programs or standards in hospitals, businesses, or communities for prevention or treatment of injury or illness.Related occupations, Train residents, medical students, and other health care professionals.Related occupations, Prepare government or organizational reports which include birth, death, and disease statistics, workforce evaluations, or medical status of individuals.Related occupations","Analyze test data or images to inform diagnosis or treatment.Related occupations, Collect medical information from patients, family members, or other medical professionals.Related occupations, Immunize patients.Related occupations, Order medical diagnostic or clinical tests.Related occupations, Prescribe medications.Related occupations, Prescribe treatments or therapies.Related occupations, Record patient medical histories.Related occupations, Explain medical procedures or test results to patients or family members.Related occupations, Monitor patient progress or responses to treatments.Related occupations, Advise communities or institutions regarding health or safety issues.Related occupations, Provide health and wellness advice to patients, program participants, or caregivers.Related occupations, Supervise patient care personnel.Related occupations, Refer patients to other healthcare practitioners or health resources.Related occupations, Collaborate with healthcare professionals to plan or provide treatment.Related occupations, Design public or employee health programs.Related occupations, Direct healthcare delivery programs.Related occupations, Prepare official health documents or records.Related occupations, Train medical providers.Related occupations",5
Health Care and Social Assistance,89%,29-1023.00,Orthodontists,Faster than average,200,"Calendar and scheduling software, Development environment software, Graphics or photo imaging software, Internet browser software, Medical software, Office suite software, Web page creation and editing software","Diagnose teeth and jaw or other dental-facial abnormalities.Related occupations, Examine patients to assess abnormalities of jaw development, tooth position, and other dental-facial structures.Related occupations, Study diagnostic records, such as medical or dental histories, plaster models of the teeth, photos of a patient's face and teeth, and X-rays, to develop patient treatment plans.Related occupations, Fit dental appliances in patients' mouths to alter the position and relationship of teeth and jaws or to realign teeth.Related occupations, Adjust dental appliances to produce and maintain normal function.Related occupations, Provide patients with proposed treatment plans and cost estimates.Related occupations, Advise patients to comply with treatment plans.Related occupations, Prepare diagnostic and treatment records.Related occupations, Instruct dental officers and technical assistants in orthodontic procedures and techniques.Related occupations, Coordinate orthodontic services with other dental and medical services.Related occupations, Design and fabricate appliances, such as space maintainers, retainers, and labial and lingual arch wires.Related occupations","Adjust dental devices or appliances to ensure fit.Related occupations, Analyze patient data to determine patient needs or treatment goals.Related occupations, Diagnose dental conditions.Related occupations, Examine mouth, teeth, gums, or related facial structures.Related occupations, Communicate detailed medical information to patients or family members.Related occupations, Advise patients on effects of health conditions or treatments.Related occupations, Confer with clients to discuss treatment plans or progress.Related occupations, Record patient medical histories.Related occupations, Train medical providers.Related occupations, Collaborate with healthcare professionals to plan or provide treatment.Related occupations, Design medical devices or appliances.Related occupations, Fabricate medical devices.Related occupations",5
Health Care and Social Assistance,88%,29-2099.00,"Health Technologists and Technicians, All OtherNeurodiagnostic TechnologistsOphthalmic Medical TechnologistsPatient Representatives",Faster than average,"12,600",,,,Unknown
Health Care and Social Assistance,88%,29-1071.00,Physician AssistantsAnesthesiologist Assistants,Much faster than average,"12,200","Electronic mail software, Internet browser software, Medical software, Office suite software, Spreadsheet software, Storage media loading software, Video conferencing software, Word processing software","Make tentative diagnoses and decisions about management and treatment of patients.Related occupations, Interpret diagnostic test results for deviations from normal.Related occupations, Prescribe therapy or medication with physician approval.Related occupations, Obtain, compile, and record patient medical data, including health history, progress notes, and results of physical examination.Related occupations, Examine patients to obtain information about their physical condition.Related occupations, Administer or order diagnostic tests, such as x-ray, electrocardiogram, and laboratory tests.Related occupations, Instruct and counsel patients about prescribed therapeutic regimens, normal growth and development, family planning, emotional problems of daily living, and health maintenance.Related occupations, Perform therapeutic procedures, such as injections, immunizations, suturing and wound care, and infection management.Related occupations, Visit and observe patients on hospital rounds or house calls, updating charts, ordering therapy, and reporting back to physician.Related occupations, Provide physicians with assistance during surgery or complicated medical procedures.Related occupations, Supervise and coordinate activities of technicians and technical assistants.Related occupations, Order medical and laboratory supplies and equipment.Related occupations","Diagnose medical conditions.Related occupations, Prescribe treatments or therapies.Related occupations, Record patient medical histories.Related occupations, Analyze test data or images to inform diagnosis or treatment.Related occupations, Collect medical information from patients, family members, or other medical professionals.Related occupations, Examine patients to assess general physical condition.Related occupations, Prescribe medications.Related occupations, Order medical diagnostic or clinical tests.Related occupations, Provide health and wellness advice to patients, program participants, or caregivers.Related occupations, Administer intravenous medications.Related occupations, Immunize patients.Related occupations, Monitor patient progress or responses to treatments.Related occupations, Assist healthcare practitioners during surgery.Related occupations, Supervise patient care personnel.Related occupations, Order medical supplies or equipment.Related occupations",5
Health Care and Social Assistance,88%,29-2053.00,Psychiatric Technicians,Much faster than average,"10,200","Electronic mail software, Inventory management software, Medical software, Office suite software, Spreadsheet software, Word processing software","Provide nursing, psychiatric, or personal care to patients with cognitive, intellectual, or developmental disabilities.Related occupations, Encourage patients to develop work skills and to participate in social, recreational, or other therapeutic activities that enhance interpersonal skills or develop social relationships.Related occupations, Restrain violent, potentially violent, or suicidal patients by verbal or physical means as required.Related occupations, Lead prescribed individual or group therapy sessions as part of specific therapeutic procedures.Related occupations, Monitor patients' physical and emotional well-being and report unusual behavior or physical ailments to medical staff.Related occupations, Take and record measures of patients' physical condition, using devices such as thermometers or blood pressure gauges.Related occupations, Observe and influence patients' behavior, communicating and interacting with them and teaching, counseling, or befriending them.Related occupations, Aid patients in performing tasks, such as bathing or keeping beds, clothing, or living areas clean.Related occupations, Collaborate with or assist doctors, psychologists, or rehabilitation therapists in working with patients with cognitive, intellectual, or developmental disabilities to treat, rehabilitate, and return patients to the community.Related occupations, Develop or teach strategies to promote client wellness and independence.Related occupations, Train or instruct new employees on procedures to follow with psychiatric patients.Related occupations, Escort patients to medical appointments.Related occupations, Administer oral medications or hypodermic injections, following physician's prescriptions and hospital procedures.Related occupations, Issue medications from dispensary and maintain records in accordance with specified procedures.Related occupations, Interview new patients to complete admission forms, to assess their mental health status, or to obtain their mental health and treatment history.Related occupations, Contact patients' relatives to arrange family conferences.Related occupations","Care for patients with mental illnesses.Related occupations, Treat patients using psychological therapies.Related occupations, Administer intravenous medications.Related occupations, Administer non-intravenous medications.Related occupations, Encourage patients or clients to develop life skills.Related occupations, Position patients for treatment or examination.Related occupations, Maintain inventory of medical supplies or equipment.Related occupations, Maintain medical facility records.Related occupations, Inform medical professionals regarding patient conditions and care.Related occupations, Examine patients to assess general physical condition.Related occupations, Interact with patients to build rapport or provide emotional support.Related occupations, Operate diagnostic or therapeutic medical instruments or equipment.Related occupations, Record patient medical histories.Related occupations, Assist patients with hygiene or daily living activities.Related occupations, Assist healthcare practitioners during examinations or treatments.Related occupations, Collaborate with healthcare professionals to plan or provide treatment.Related occupations, Collect medical information from patients, family members, or other medical professionals.Related occupations, Teach health management classes.Related occupations, Train medical providers.Related occupations, Move patients to or from treatment areas.Related occupations, Perform clerical work in medical settings.Related occupations",3
Health Care and Social Assistance,88%,29-1022.00,Oral and Maxillofacial Surgeons,Faster than average,200,"Development environment software, Graphics or photo imaging software, Medical software, Operating system softwareRelated occupations","Administer general and local anesthetics.Related occupations, Collaborate with other professionals, such as restorative dentists and orthodontists, to plan treatment.Related occupations, Evaluate the position of the wisdom teeth to determine whether problems exist currently or might occur in the future.Related occupations, Perform surgery to prepare the mouth for dental implants and to aid in the regeneration of deficient bone and gum tissues.Related occupations, Remove impacted, damaged, and non-restorable teeth.Related occupations, Treat infections of the oral cavity, salivary glands, jaws, and neck.Related occupations, Remove tumors and other abnormal growths of the oral and facial regions, using surgical instruments.Related occupations, Provide emergency treatment of facial injuries including facial lacerations, intra-oral lacerations, and fractured facial bones.Related occupations, Treat problems affecting the oral mucosa, such as mouth ulcers and infections.Related occupations, Restore form and function by moving skin, bone, nerves, and other tissues from other parts of the body to reconstruct the jaws and face.Related occupations, Perform surgery on the mouth and jaws to treat conditions such as cleft lip, cleft palate, and jaw growth problems.Related occupations, Perform minor cosmetic procedures, such as chin and cheekbone enhancements.Related occupations, Perform minor facial rejuvenation procedures, including the use of Botox and laser technology.Related occupations, Treat snoring problems, using laser surgery.Related occupations","Administer anesthetics or sedatives to control pain.Related occupations, Collaborate with healthcare professionals to plan or provide treatment.Related occupations, Analyze patient data to determine patient needs or treatment goals.Related occupations, Operate on patients to treat conditions.Related occupations, Treat acute illnesses, infections, or injuries.Related occupations, Treat dental problems or diseases.Related occupations, Treat medical emergencies.Related occupations, Treat chronic diseases or disorders.Related occupations",5
Health Care and Social Assistance,87%,29-1216.00,General Internal Medicine Physicians,Average,"2,100","Accounting software, Calendar and scheduling software, Electronic mail software, Information retrieval or search software, Internet browser software, Medical software, Office suite software, Spreadsheet software","Analyze records, reports, test results, or examination information to diagnose medical condition of patient.Related occupations, Treat internal disorders, such as hypertension, heart disease, diabetes, or problems of the lung, brain, kidney, or gastrointestinal tract.Related occupations, Prescribe or administer medication, therapy, and other specialized medical care to treat or prevent illness, disease, or injury.Related occupations, Manage and treat common health problems, such as infections, influenza or pneumonia, as well as serious, chronic, and complex illnesses, in adolescents, adults, and the elderly.Related occupations, Provide and manage long-term, comprehensive medical care, including diagnosis and nonsurgical treatment of diseases, for adult patients in an office or hospital.Related occupations, Explain procedures and discuss test results or prescribed treatments with patients.Related occupations, Advise patients and community members concerning diet, activity, hygiene, and disease prevention.Related occupations, Make diagnoses when different illnesses occur together or in situations where the diagnosis may be obscure.Related occupations, Refer patient to medical specialist or other practitioner when necessary.Related occupations, Monitor patients' conditions and progress and reevaluate treatments as necessary.Related occupations, Collect, record, and maintain patient information, such as medical history, reports, or examination results.Related occupations, Provide consulting services to other doctors caring for patients with special or difficult problems.Related occupations, Advise surgeon of a patient's risk status and recommend appropriate intervention to minimize risk.Related occupations, Immunize patients to protect them from preventable diseases.Related occupations, Direct and coordinate activities of nurses, students, assistants, specialists, therapists, and other medical staff.Related occupations, Prepare government or organizational reports on birth, death, and disease statistics, workforce evaluations, or the medical status of individuals.Related occupations, Conduct research to develop or test medications, treatments, or procedures to prevent or control disease or injury.Related occupations, Operate on patients to remove, repair, or improve functioning of diseased or injured body parts and systems.Related occupations, Plan, implement, or administer health programs in hospitals, businesses, or communities for prevention and treatment of injuries or illnesses.Related occupations","Analyze test data or images to inform diagnosis or treatment.Related occupations, Treat chronic diseases or disorders.Related occupations, Administer non-intravenous medications.Related occupations, Prescribe medications.Related occupations, Prescribe treatments or therapies.Related occupations, Treat acute illnesses, infections, or injuries.Related occupations, Diagnose medical conditions.Related occupations, Explain medical procedures or test results to patients or family members.Related occupations, Advise communities or institutions regarding health or safety issues.Related occupations, Provide health and wellness advice to patients, program participants, or caregivers.Related occupations, Monitor patient progress or responses to treatments.Related occupations, Refer patients to other healthcare practitioners or health resources.Related occupations, Collect medical information from patients, family members, or other medical professionals.Related occupations, Record patient medical histories.Related occupations, Advise medical personnel regarding healthcare issues.Related occupations, Immunize patients.Related occupations, Supervise patient care personnel.Related occupations, Conduct research to increase knowledge about medical issues.Related occupations, Operate on patients to treat conditions.Related occupations, Design public or employee health programs.Related occupations, Direct healthcare delivery programs.Related occupations, Prepare official health documents or records.Related occupations",5
Health Care and Social Assistance,86%,29-1021.00,"Dentists, General",Average,"4,500","Accounting softwareRelated occupations, Internet browser software, Medical software, Office suite software, Spreadsheet software, Word processing softwareRelated occupations","Use masks, gloves, and safety glasses to protect patients and self from infectious diseases.Related occupations, Examine teeth, gums, and related tissues, using dental instruments, x-rays, or other diagnostic equipment, to evaluate dental health, diagnose diseases or abnormalities, and plan appropriate treatments.Related occupations, Administer anesthetics to limit the amount of pain experienced by patients during procedures.Related occupations, Use dental air turbines, hand instruments, dental appliances, or surgical implements.Related occupations, Formulate plan of treatment for patient's teeth and mouth tissue.Related occupations, Diagnose and treat diseases, injuries, or malformations of teeth, gums, or related oral structures and provide preventive or corrective services.Related occupations, Write prescriptions for antibiotics or other medications.Related occupations, Advise or instruct patients regarding preventive dental care, the causes and treatment of dental problems, or oral health care services.Related occupations, Design, make, or fit prosthodontic appliances, such as space maintainers, bridges, or dentures, or write fabrication instructions or prescriptions for denturists or dental technicians.Related occupations, Fill pulp chamber and canal with endodontic materials.Related occupations, Treat exposure of pulp by pulp capping, removal of pulp from pulp chamber, or root canal, using dental instruments.Related occupations, Remove diseased tissue, using surgical instruments.Related occupations, Manage business aspects such as employing or supervising staff or handling paperwork or insurance claims.Related occupations, Analyze or evaluate dental needs to determine changes or trends in patterns of dental disease.Related occupations, Apply fluoride or sealants to teeth.Related occupations, Eliminate irritating margins of fillings and correct occlusions, using dental instruments.Related occupations, Perform oral or periodontal surgery on the jaw or mouth.Related occupations, Plan, organize, or maintain dental health programs.Related occupations, Bleach, clean, or polish teeth to restore natural color.Related occupations, Produce or evaluate dental health educational materials.Related occupations","Protect patients or staff members using safety equipment.Related occupations, Operate diagnostic or therapeutic medical instruments or equipment.Related occupations, Examine mouth, teeth, gums, or related facial structures.Related occupations, Operate diagnostic imaging equipment.Related occupations, Administer anesthetics or sedatives to control pain.Related occupations, Develop medical treatment plans.Related occupations, Treat dental problems or diseases.Related occupations, Diagnose dental conditions.Related occupations, Adjust prostheses or other assistive devices.Related occupations, Advise patients on preventive care techniques.Related occupations, Design medical devices or appliances.Related occupations, Fabricate medical devices.Related occupations, Prescribe medications.Related occupations, Operate on patients to treat conditions.Related occupations, Analyze patient data to determine patient needs or treatment goals.Related occupations, Supervise patient care personnel.Related occupations, Design public or employee health programs.Related occupations, Direct healthcare delivery programs.Related occupations, Prepare healthcare training materials.Related occupations",5
Health Care and Social Assistance,84%,29-1141.00,Registered NursesAcute Care NursesAdvanced Practice Psychiatric NursesCritical Care NursesClinical Nurse Specialists,Faster than average,"193,100","Business intelligence and data analysis software, Calendar and scheduling software, Categorization or classification software, Cloud-based data access and sharing software, Data base user interface and query software, Electronic mail software, Human resources software, Information retrieval or search software, Medical software, Office suite software, Operating system software, Presentation software, Project management software, Spreadsheet software, Time accounting software, Video conferencing software, Video creation and editing software, Web page creation and editing software, Word processing software","Record patients' medical information and vital signs.Related occupations, Administer medications to patients and monitor patients for reactions or side effects.Related occupations, Maintain accurate, detailed reports and records.Related occupations, Monitor, record, and report symptoms or changes in patients' conditions.Related occupations, Provide health care, first aid, immunizations, or assistance in convalescence or rehabilitation in locations such as schools, hospitals, or industry.Related occupations, Consult and coordinate with healthcare team members to assess, plan, implement, or evaluate patient care plans.Related occupations, Direct or supervise less-skilled nursing or healthcare personnel or supervise a particular unit.Related occupations, Monitor all aspects of patient care, including diet and physical activity.Related occupations, Instruct individuals, families, or other groups on topics such as health education, disease prevention, or childbirth and develop health improvement programs.Related occupations, Modify patient treatment plans as indicated by patients' responses and conditions.Related occupations, Conduct specified laboratory tests.Related occupations, Observe nurses and visit patients to ensure proper nursing care.Related occupations, Assess the needs of individuals, families, or communities, including assessment of individuals' home or work environments, to identify potential health or safety problems.Related occupations, Work with individuals, groups, or families to plan or implement programs designed to improve the overall health of communities.Related occupations, Prepare patients for and assist with examinations or treatments.Related occupations, Perform administrative or managerial functions, such as taking responsibility for a unit's staff, budget, planning, or long-range goals.Related occupations, Order, interpret, and evaluate diagnostic tests to identify and assess patient's condition.Related occupations, Prescribe or recommend drugs, medical devices, or other forms of treatment, such as physical therapy, inhalation therapy, or related therapeutic procedures.Related occupations, Direct or coordinate infection control programs, advising or consulting with specified personnel about necessary precautions.Related occupations, Prepare rooms, sterile instruments, equipment, or supplies and ensure that stock of supplies is maintained.Related occupations, Administer local, inhalation, intravenous, or other anesthetics.Related occupations, Provide or arrange for training or instruction of auxiliary personnel or students.Related occupations, Refer students or patients to specialized health resources or community agencies furnishing assistance.Related occupations, Perform physical examinations, make tentative diagnoses, and treat patients en route to hospitals or at disaster site triage centers.Related occupations, Consult with institutions or associations regarding issues or concerns relevant to the practice and profession of nursing.Related occupations, Inform physician of patient's condition during anesthesia.Related occupations, Engage in research activities related to nursing.Related occupations","Record patient medical histories.Related occupations, Monitor patient conditions during treatments, procedures, or activities.Related occupations, Administer non-intravenous medications.Related occupations, Maintain medical facility records.Related occupations, Inform medical professionals regarding patient conditions and care.Related occupations, Immunize patients.Related occupations, Treat acute illnesses, infections, or injuries.Related occupations, Collaborate with healthcare professionals to plan or provide treatment.Related occupations, Supervise patient care personnel.Related occupations, Manage healthcare operations.Related occupations, Advise medical personnel regarding healthcare issues.Related occupations, Analyze test data or images to inform diagnosis or treatment.Related occupations, Direct healthcare delivery programs.Related occupations, Order medical diagnostic or clinical tests.Related occupations, Prescribe assistive medical devices or related treatments.Related occupations, Prescribe medications.Related occupations, Design public or employee health programs.Related occupations, Communicate health and wellness information to the public.Related occupations, Evaluate patient outcomes to determine effectiveness of treatments.Related occupations, Maintain inventory of medical supplies or equipment.Related occupations, Prepare medical supplies or equipment for use.Related occupations, Test biological specimens to gather information about patient conditions.Related occupations, Assess patient work, living, or social environments.Related occupations, Administer anesthetics or sedatives to control pain.Related occupations, Assist healthcare practitioners during examinations or treatments.Related occupations, Prepare patients physically for medical procedures.Related occupations, Train caregivers or other non-medical personnel.Related occupations, Diagnose medical conditions.Related occupations, Examine patients to assess general physical condition.Related occupations, Refer patients to other healthcare practitioners or health resources.Related occupations, Treat medical emergencies.Related occupations, Advise communities or institutions regarding health or safety issues.Related occupations, Conduct research to increase knowledge about medical issues.Related occupations",4
Health Care and Social Assistance,83%,29-2061.00,Licensed Practical and Licensed Vocational Nurses,Faster than average,"54,400","Calendar and scheduling software, Categorization or classification software, Cloud-based data access and sharing software, Electronic mail software, Internet browser software, Inventory management software, Medical software, Office suite software, Operating system software, Spreadsheet software, Video conferencing software, Video creation and editing software, Word processing software","Observe patients, charting and reporting changes in patients' conditions, such as adverse reactions to medication or treatment, and taking any necessary action.Related occupations, Measure and record patients' vital signs, such as height, weight, temperature, blood pressure, pulse, or respiration.Related occupations, Administer prescribed medications or start intravenous fluids, noting times and amounts on patients' charts.Related occupations, Provide basic patient care or treatments, such as taking temperatures or blood pressures, dressing wounds, treating bedsores, giving enemas or douches, rubbing with alcohol, massaging, or performing catheterizations.Related occupations, Answer patients' calls and determine how to assist them.Related occupations, Supervise nurses' aides or assistants.Related occupations, Evaluate nursing intervention outcomes, conferring with other healthcare team members as necessary.Related occupations, Work as part of a healthcare team to assess patient needs, plan and modify care, and implement interventions.Related occupations, Record food and fluid intake and output.Related occupations, Assemble and use equipment, such as catheters, tracheotomy tubes, or oxygen suppliers.Related occupations, Collect samples, such as blood, urine, or sputum from patients, and perform routine laboratory tests on samples.Related occupations, Prepare or examine food trays for conformance to prescribed diet.Related occupations, Help patients with bathing, dressing, maintaining personal hygiene, moving in bed, or standing and walking.Related occupations, Prepare patients for examinations, tests, or treatments and explain procedures.Related occupations, Apply compresses, ice bags, or hot water bottles.Related occupations, Provide medical treatment or personal care to patients in private home settings, such as cooking, keeping rooms orderly, seeing that patients are comfortable and in good spirits, or instructing family members in simple nursing tasks.Related occupations, Sterilize equipment and supplies, using germicides, sterilizer, or autoclave.Related occupations, Make appointments, keep records, or perform other clerical duties in doctors' offices or clinics.Related occupations, Set up equipment and prepare medical treatment rooms.Related occupations, Wash and dress bodies of deceased persons.Related occupations, Clean rooms and make beds.Related occupations, Inventory and requisition supplies and instruments.Related occupations","Record patient medical histories.Related occupations, Monitor patient conditions during treatments, procedures, or activities.Related occupations, Measure the physical or physiological attributes of patients.Related occupations, Administer basic health care or medical treatments.Related occupations, Administer intravenous medications.Related occupations, Apply bandages, dressings, or splints.Related occupations, Assist patients with hygiene or daily living activities.Related occupations, Supervise patient care personnel.Related occupations, Train patients, family members, or caregivers in techniques for managing disabilities or illnesses.Related occupations, Collaborate with healthcare professionals to plan or provide treatment.Related occupations, Analyze quantitative data to determine effectiveness of treatments or therapies.Related occupations, Sterilize medical equipment or instruments.Related occupations, Prepare medical supplies or equipment for use.Related occupations, Operate diagnostic or therapeutic medical instruments or equipment.Related occupations, Maintain medical facility records.Related occupations, Perform clerical work in medical settings.Related occupations, Schedule patient procedures or appointments.Related occupations, Collect biological specimens from patients.Related occupations, Test biological specimens to gather information about patient conditions.Related occupations, Manage preparation of special meals or diets.Related occupations, Explain medical procedures or test results to patients or family members.Related occupations, Prepare patients physically for medical procedures.Related occupations, Treat patients using physical therapy techniques.Related occupations, Clean medical equipment or facilities.Related occupations, Maintain inventory of medical supplies or equipment.Related occupations, Order medical supplies or equipment.Related occupations",3
Health Care and Social Assistance,83%,,Clinical Laboratory Technologists and TechniciansMedical and Clinical Laboratory TechnologistsCytogenetic TechnologistsCytotechnologistsHistotechnologistsMedical and Clinical Laboratory TechniciansHistology Technicians,Faster than average,"24,000",,,,Unknown
Health Care and Social Assistance,82%,29-2051.00,Dietetic Technicians,Average,"2,300","Analytical or scientific software, Calendar and scheduling software, Data base user interface and query software, Desktop publishing softwareRelated occupations, Electronic mail software, Enterprise resource planning ERP software, Internet browser software, Inventory management software, Medical software, Office suite software, Presentation software, Spreadsheet software, Word processing software","Observe and monitor patient food intake and body weight, and report changes, progress, and dietary problems to dietician.Related occupations, Conduct nutritional assessments of individuals, including obtaining and evaluating individuals' dietary histories, to plan nutritional programs.Related occupations, Prepare a major meal, following recipes and determining group food quantities.Related occupations, Supervise food production or service or assist dietitians or nutritionists in food service supervision or planning.Related occupations, Plan menus or diets or guide individuals or families in food selection, preparation, or menu planning, based upon nutritional needs and established guidelines.Related occupations, Develop job specifications, job descriptions, or work schedules.Related occupations, Attend interdisciplinary meetings with other health care professionals to discuss patient care.Related occupations, Provide dietitians with assistance researching food, nutrition, or food service systems.Related occupations, Select, schedule, or conduct orientation or in-service education programs.Related occupations, Analyze menus or recipes, standardize recipes, or test new products.Related occupations, Determine food and beverage costs and assist in implementing cost control procedures.Related occupations, Refer patients to other relevant services to provide continuity of care.Related occupations, Deliver speeches on diet, nutrition, or health to promote healthy eating habits and illness prevention and treatment.Related occupations","Inform medical professionals regarding patient conditions and care.Related occupations, Monitor nutrition related activities of individuals or groups.Related occupations, Monitor patient progress or responses to treatments.Related occupations, Manage preparation of special meals or diets.Related occupations, Analyze patient data to determine patient needs or treatment goals.Related occupations, Collect medical information from patients, family members, or other medical professionals.Related occupations, Evaluate patient functioning, capabilities, or health.Related occupations, Supervise medical support personnel.Related occupations, Provide health and wellness advice to patients, program participants, or caregivers.Related occupations, Refer patients to other healthcare practitioners or health resources.Related occupations, Collaborate with healthcare professionals to plan or provide treatment.Related occupations, Collaborate with other professionals to assess client needs or plan treatments.Related occupations, Conduct research to increase knowledge about medical issues.Related occupations, Communicate health and wellness information to the public.Related occupations, Train medical providers.Related occupations",3
Health Care and Social Assistance,81%,29-1122.00,"Occupational TherapistsLow Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",Much faster than average,"9,600","Accounting software, Computer based training software, Data base user interface and query software, Device drivers or system software, Electronic mail software, Graphics or photo imaging software, Internet browser software, Medical software, Music or sound editing software, Office suite software, Optical character reader OCR or scanning software, Pattern design software, Spreadsheet software, Voice recognition software, Web page creation and editing software, Word processing software","Test and evaluate patients' physical and mental abilities and analyze medical data to determine realistic rehabilitation goals for patients.Related occupations, Complete and maintain necessary records.Related occupations, Plan, organize, and conduct occupational therapy programs in hospital, institutional, or community settings to help rehabilitate persons with disabilities because of illness, injury or psychological or developmental problems.Related occupations, Plan and implement programs and social activities to help patients learn work or school skills and adjust to handicaps.Related occupations, Select activities that will help individuals learn work and life-management skills within limits of their mental or physical capabilities.Related occupations, Evaluate patients' progress and prepare reports that detail progress.Related occupations, Train caregivers in providing for the needs of a patient during and after therapy.Related occupations, Lay out materials such as puzzles, scissors and eating utensils for use in therapy, and clean and repair these tools after therapy sessions.Related occupations, Consult with rehabilitation team to select activity programs or coordinate occupational therapy with other therapeutic activities.Related occupations, Design and create, or requisition, special supplies and equipment, such as splints, braces, and computer-aided adaptive equipment.Related occupations, Recommend changes in patients' work or living environments, consistent with their needs and capabilities.Related occupations, Develop and participate in health promotion programs, group activities, or discussions to promote client health, facilitate social adjustment, alleviate stress, and prevent physical or mental disability.Related occupations, Provide training and supervision in therapy techniques and objectives for students or nurses and other medical staff.Related occupations, Help clients improve decision making, abstract reasoning, memory, sequencing, coordination, and perceptual skills, using computer programs.Related occupations, Conduct research in occupational therapy.Related occupations, Advise on health risks in the workplace or on health-related transition to retirement.Related occupations, Provide patients with assistance in locating or holding jobs.Related occupations","Analyze patient data to determine patient needs or treatment goals.Related occupations, Evaluate patient functioning, capabilities, or health.Related occupations, Record patient medical histories.Related occupations, Design public or employee health programs.Related occupations, Direct healthcare delivery programs.Related occupations, Develop treatment plans that use non-medical therapies.Related occupations, Monitor patient progress or responses to treatments.Related occupations, Prepare reports summarizing patient diagnostic or care activities.Related occupations, Train caregivers or other non-medical personnel.Related occupations, Clean medical equipment or facilities.Related occupations, Collaborate with healthcare professionals to plan or provide treatment.Related occupations, Prepare medical supplies or equipment for use.Related occupations, Design medical devices or appliances.Related occupations, Fabricate medical devices.Related occupations, Provide health and wellness advice to patients, program participants, or caregivers.Related occupations, Supervise patient care personnel.Related occupations, Train medical providers.Related occupations, Conduct research to increase knowledge about medical issues.Related occupations, Advise communities or institutions regarding health or safety issues.Related occupations, Encourage patients or clients to develop life skills.Related occupations",5
Health Care and Social Assistance,81%,29-1081.00,Podiatrists,Little or no change,300,"Data base user interface and query software, Electronic mail software, Graphics or photo imaging software, Internet browser software, Medical software, Web page creation and editing software, Word processing softwareRelated occupations","Treat bone, muscle, and joint disorders affecting the feet and ankles.Related occupations, Diagnose diseases and deformities of the foot using medical histories, physical examinations, x-rays, and laboratory test results.Related occupations, Advise patients about treatments and foot care techniques necessary for prevention of future problems.Related occupations, Prescribe medications, corrective devices, physical therapy, or surgery.Related occupations, Surgically treat conditions such as corns, calluses, ingrown nails, tumors, shortened tendons, bunions, cysts, or abscesses.Related occupations, Refer patients to physicians when symptoms indicative of systemic disorders, such as arthritis or diabetes, are observed in feet and legs.Related occupations, Make and fit prosthetic appliances.Related occupations, Correct deformities by means of plaster casts and strapping.Related occupations, Perform administrative duties, such as hiring employees, ordering supplies, or keeping records.Related occupations, Educate the public about the benefits of foot care through techniques such as speaking engagements, advertising, and other forums.Related occupations, Treat deformities using mechanical methods, such as whirlpool or paraffin baths, and electrical methods, such as short wave and low voltage currents.Related occupations","Treat chronic diseases or disorders.Related occupations, Analyze test data or images to inform diagnosis or treatment.Related occupations, Diagnose medical conditions.Related occupations, Advise patients on preventive care techniques.Related occupations, Prescribe assistive medical devices or related treatments.Related occupations, Prescribe medications.Related occupations, Prescribe treatments or therapies.Related occupations, Operate on patients to treat conditions.Related occupations, Refer patients to other healthcare practitioners or health resources.Related occupations, Adjust prostheses or other assistive devices.Related occupations, Fabricate medical devices.Related occupations, Maintain medical facility records.Related occupations, Manage healthcare operations.Related occupations, Order medical supplies or equipment.Related occupations, Communicate health and wellness information to the public.Related occupations, Treat patients using alternative medical procedures.Related occupations",5
